sample_name	altitude_m	anonymized_name	area_sampled	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	name_location	other_sampling_notes	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	substrate_sampled	title
662.C1	0.0	C1	tidepool	2008-04-10	GAZ:United States of America	0	0	Mytilus californianus shell C1	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	C1	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	organismal metagenomes	410656	biofilm	biofilm metagenome	Mytilus californianus shell	Intertidal microbes 16s for 2009 and 2055
662.C2	0.0	C2	rocky intertidal	2008-04-10	GAZ:United States of America	0	0	Mytilus californianus shell C2	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	C2	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	organismal metagenomes	410656	biofilm	biofilm metagenome	Mytilus californianus shell	Intertidal microbes 16s for 2009 and 2056
662.M1	0.0	M1	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M1	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M1	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2010
662.M10	0.0	M10	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from rock M10	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M10	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2020
662.M11	0.0	M11	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from red alga Prionitis M11	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__	red algae	f__	g__	k__	o__	p__	Rhodophyta	s__	M11	sk__Eukaryota	2763	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	Prionitis red algae	Intertidal microbes 16s for 2009 and 2021
662.M12	0.0	M12	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from red alga Prionitis M12	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__	red algae	f__	g__	k__	o__	p__	Rhodophyta	s__	M12	sk__Eukaryota	2763	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	Prionitis red algae	Intertidal microbes 16s for 2009 and 2022
662.M13	0.0	M13	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from Anthopleura elegantissima M13	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Anthozoa	clonal anemone	f__Actiniidae	g__Anthopleura	k__Metazoa	o__Actiniaria	p__Cnidaria	Anthopleura elegantissima	s__Anthopleura_elegantissima	M13	sk__Eukaryota	6110	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	Anthopleura elegantissima	Intertidal microbes 16s for 2009 and 2023
662.M14	0.0	M14	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from Anthopleura elegantissima M14	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Anthozoa	clonal anemone	f__Actiniidae	g__Anthopleura	k__Metazoa	o__Actiniaria	p__Cnidaria	Anthopleura elegantissima	s__Anthopleura_elegantissima	M14	sk__Eukaryota	6110	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	Anthopleura elegantissima	Intertidal microbes 16s for 2009 and 2024
662.M15	0.0	M15	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	Mytlius californianus gill tissue M15	TRUE	24.73	24.73	True	EMP sample	Host-associated	Animal	Animal corpus	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	M15	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	gill tissue	ANL	FALSE	TRUE	Host-associated	Animal	Animal corpus	662	organismal metagenomes	410656	gill tissue	biofilm metagenome	Mytilus californianus gill	Intertidal microbes 16s for 2009 and 2025
662.M16	0.0	M16	tidepool	2009-08-06	GAZ:United States of America	0	0	Mytlius californianus gill tissue M16	TRUE	24.73	24.73	True	EMP sample	Host-associated	Animal	Animal corpus	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	M16	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	gill tissue	ANL	FALSE	TRUE	Host-associated	Animal	Animal corpus	662	organismal metagenomes	410656	gill tissue	biofilm metagenome	Mytilus californianus gill	Intertidal microbes 16s for 2009 and 2026
