sample_name	age	age_unit	altitude	altitude_m	anonymized_name	ave_group_size	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	dist_nearest_neighbor	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	gut_physiology	height_or_length	height_or_length_unit	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	location	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title	tot_mass	tot_mass_unit
963.Iguana.117.051211.LAB.vial.666	Missing: Not provided	years	0	0.0	Iguana-117_051211_LAB_vial-666	9	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-12	GAZ:Panama	0	0	gut metagenome Iguana-117	herbivore	0.2	TRUE	55	55	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-117	sk__Eukaryota	8517	9.166	9.166	Barro Colorado Island	-79.837	-79.837	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	11.8	g
963.Iguana.118.051211.LAB.vial.693	Missing: Not provided	years	0	0.0	Iguana-118_051211_LAB_vial-693	9	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-12	GAZ:Panama	0	0	gut metagenome Iguana-118	herbivore	0.2	TRUE	55	55	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	69.5	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-118	sk__Eukaryota	8517	9.166	9.166	Barro Colorado Island	-79.837	-79.837	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	11.75	g
963.Iguana.12.052010.LAB.vial.84	Missing: Not provided	years	0	0.0	Iguana-12_052010_LAB_vial-84	3	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-20	GAZ:Panama	0	0	gut metagenome Iguana-12	herbivore	1	TRUE	77	77	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	82	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-12	sk__Eukaryota	8517	9.163	9.163	Barro Colorado Island	-79.838	-79.838	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	20.4	g
963.Iguana.131.051611.LAB.vial.683	Missing: Not provided	years	0	0.0	Iguana-131_051611_LAB_vial-683	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-16	GAZ:Panama	0	0	gut metagenome Iguana-131	herbivore	Missing: Not provided	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-131	sk__Eukaryota	8517	9.165	9.165	Barro Colorado Island	-79.836	-79.836	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	12.25	g
963.Iguana.14.053010.BCO.vial.190	Missing: Not provided	years	0	0.0	Iguana-14_053010_BCO_vial-190	1.75	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-30	GAZ:Panama	0	0	gut metagenome Iguana-14	herbivore	0.5	TRUE	57	57	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	75	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-14	sk__Eukaryota	8517	9.162	9.162	Barro Colorado Island	-79.829	-79.829	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	18.2	g
963.Iguana.146.052011.LAB.vial.723	Missing: Not provided	years	0	0.0	Iguana-146_052011_LAB_vial-723	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-20	GAZ:Panama	0	0	gut metagenome Iguana-146	herbivore	Missing: Not provided	TRUE	55	55	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	83	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-146	sk__Eukaryota	8517	9.166	9.166	Barro Colorado Island	-79.837	-79.837	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	14	g
963.Iguana.147.052011.LAB.vial.728	Missing: Not provided	years	0	0.0	Iguana-147_052011_LAB_vial-728	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-20	GAZ:Panama	0	0	gut metagenome Iguana-147	herbivore	Missing: Not provided	TRUE	55	55	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	72.5	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-147	sk__Eukaryota	8517	9.166	9.166	Barro Colorado Island	-79.837	-79.837	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	10.8	g
963.Iguana.151.052111.SUR.vial.737	Missing: Not provided	years	0	0.0	Iguana-151_052111_SUR_vial-737	5	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-21	GAZ:Panama	0	0	gut metagenome Iguana-151	herbivore	0.5	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	73	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-151	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	10.5	g
963.Iguana.153.052211.LAB.vial.752	Missing: Not provided	years	0	0.0	Iguana-153_052211_LAB_vial-752	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-22	GAZ:Panama	0	0	gut metagenome Iguana-153	herbivore	Missing: Not provided	TRUE	55	55	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-153	sk__Eukaryota	8517	9.166	9.166	Barro Colorado Island	-79.837	-79.837	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	12.8	g
963.Iguana.154.052311.BOH.vial.787	Missing: Not provided	years	0	0.0	Iguana-154_052311_BOH_vial-787	2	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-23	GAZ:Panama	0	0	gut metagenome Iguana-154	herbivore	1	TRUE	42	42	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	76	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-154	sk__Eukaryota	8517	9.19	9.19	Barro Colorado Nature Monument	-79.841	-79.841	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	14.3	g
