sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title
940.Blank01	0	0.0	Blank01	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank01	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank01	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank02	0	0.0	Blank02	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank02	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank02	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank03	0	0.0	Blank03	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank03	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank03	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank04	0	0.0	Blank04	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank04	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank04	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank05	0	0.0	Blank05	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank05	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank05	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank06	0	0.0	Blank06	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank06	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank06	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank07	0	0.0	Blank07	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank07	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank07	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank08	0	0.0	Blank08	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank08	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank08	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank09	0	0.0	Blank09	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank09	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank09	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank10	0	0.0	Blank10	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank10	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank10	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
