sample_name	altitude	altitude_m	anonymized_name	bird_family	bird_order	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	habitat	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title
1773.Chirox.lance1.gizz	0	0.0	COP184	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2006-01-25	GAZ:Venezuela	0	0	Gizzard Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph1	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance1.lgi	0	0.0	COP186	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-01-25	GAZ:Venezuela	0	0	Lower intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph1	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance1.ugi	0	0.0	COP185	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-01-25	GAZ:Venezuela	0	0	Upper intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph1	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance2.gizz	0	0.0	COP187	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2006-04-30	GAZ:Venezuela	0	0	Gizzard Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph2	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance2.lgi	0	0.0	COP189	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-04-30	GAZ:Venezuela	0	0	Lower intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph2	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance2.ugi	0	0.0	COP188	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-04-30	GAZ:Venezuela	0	0	Upper intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph2	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Chirox.lance3.gizz	0	0.0	COP233	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2006-04-30	GAZ:Venezuela	0	0	Gizzard Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph3	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Chirox.lance3.lgi	0	0.0	COP235	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-04-30	GAZ:Venezuela	0	0	Lower intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph3	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Chirox.lance3.ugi	0	0.0	COP234	Pipridae	Passeriformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2006-04-30	GAZ:Venezuela	0	0	Upper intestine Chiroxiphia lanceolata	Frugivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	lance-tailed manakin	f__Pipridae	g__Chiroxiphia	k__Metazoa	o__Passeriformes	p__Chordata	Chiroxiphia lanceolata	s__Chiroxiphia_lanceolata	Cph3	sk__Eukaryota	296741	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Columb.passer1	0	0.0	COP118	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2007-01-01	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp1	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True				1773	gut metagenome	749906	Lower intestine	gut metagenome		Garcia_bird_gutmicrobiome
